,url,label,salience,button,banner_size,button_size,button_size_p,corner,choices,brightness,banner_brightness,contrast,banner_distance,button_distance,button_banner_distance,link,hidden
1208,prnewswire.com_false,manage,1.2912368113531096,manage,2079.422095716817,112.40207137186397,0.054054475810076844,False,False,64.29160176531671,55.29431333562842,8.99728842968829,21.694882005019714,13.976972490168702,12.439938274935395,False,False
1209,prnewswire.com_false,manage,1.5892665807256667,accept,2079.422095716817,127.43083978076177,0.06128185328185325,False,False,96.08197192820985,55.29431333562842,40.78765859258143,21.694882005019714,13.338373397896392,12.091033630872177,False,False
1210,profigaraz.sk_false,manage,0.9848173931000543,manage,2914.6379039640105,117.75363218988409,0.040400775694893344,False,False,60.948971962616824,53.56568085095692,7.383291111659901,25.30853521504385,47.7619861964082,28.290390414473762,False,False
1211,profigaraz.sk_false,manage,1.6906920336360498,accept,2914.6379039640105,123.70554305329988,0.04244285126638062,False,False,176.9063910667617,53.56568085095692,123.34071021580478,25.30853521504385,25.24271900392925,29.63782037245968,False,False
1212,proserve.nl_false,full,1.631096873746752,accept,4987.701303542573,118.50297348563777,0.02375903573084251,False,False,180.45850340136053,228.51709260117167,48.05858919981114,20.234272875370024,37.54282407015704,42.34958756105375,False,False
1213,proserve.nl_false,full,1.831220591541641,reject,4987.701303542573,104.37253762285182,0.020925979979739363,False,False,94.02629376482075,228.51709260117167,134.4907988363509,20.234272875370024,22.81231631715056,29.76820250856849,False,False
1214,proserve.nl_false,full,1.6432483711964496,manage,4987.701303542573,240.98816071442454,0.0483164780824505,False,False,91.48404900533721,228.51709260117167,137.03304359583444,20.234272875370024,30.52245650851866,36.877770009053854,False,False
1215,przemyska.pl_false,full,1.5302449480826739,accept,1926.1068666055874,140.36232957034198,0.07287359388199734,False,False,123.16449948400412,229.30123002259225,106.13673053858813,31.045838033312563,38.36387234654553,19.923338889781082,False,False
1216,przemyska.pl_false,full,1.1711935283888217,reject,1926.1068666055874,93.45356445615346,0.048519407763105246,False,False,232.6421530276952,229.30123002259225,3.340923005102951,31.045838033312563,45.79233906950261,17.88415652100833,False,False
1217,przemyska.pl_false,full,1.0286538907392673,manage,1926.1068666055874,93.26087669438834,0.04841936774709892,False,False,233.1204705882353,229.30123002259225,3.8192405656430424,31.045838033312563,53.210847636798206,22.58997883960348,False,False
1218,psd-kiel.de_false,full choices,1.8733643426098938,accept,4612.211132358177,147.47036700434927,0.0319738977189774,False,False,165.31567944250872,240.54684010736804,75.23116066485932,0.1986448086652688,36.38529685629234,36.571893180802675,False,False
1219,psd-kiel.de_false,full choices,1.3757416504970523,reject,4612.211132358177,139.44171026413014,0.03023315851389375,False,False,242.99206763385868,240.54684010736804,2.4452275264906405,0.1986448086652688,30.058369997103824,30.253165175341202,False,False
1220,psd-kiel.de_false,full choices,1.2683249624200845,manage,4612.211132358177,301.44929840610354,0.0653589546868761,False,True,237.77492746615087,240.54684010736804,2.7719126412171704,0.1986448086652688,21.503056265472523,21.688750785426613,False,False
1221,pusher.com_false,manage xa,1.8387563491889223,accept,1434.0251425597155,62.944668843319974,0.04389369961182451,False,False,132.78206018518517,243.7429975002049,110.96093731501972,37.07216338445366,38.9009823615203,16.5147982792834,False,False
1222,pusher.com_false,manage xa,1.3588153269519954,manage,1434.0251425597155,86.49539528129682,0.06031651239175884,False,False,220.21642298537913,243.7429975002049,23.526574514825768,37.07216338445366,43.930207458437984,10.94927237191789,False,False
1223,pusher.com_false,manage xa,0.8462311026126197,x,1434.0251425597155,10.276680627480806,0.007166318303971344,True,False,243.31358885017423,243.7429975002049,0.4294086500306662,37.07216338445366,14.7169775396351,22.35663294936759,False,False
1224,rackspace.com_false,full xa,1.3737244223458795,accept,3038.471905525155,221.3768285169822,0.0728579481397971,False,False,83.7046875,98.43829758463905,14.73361008463904,31.143653213169003,46.548862451157504,26.103078484657868,False,False
1225,rackspace.com_false,full xa,1.6257335259402521,reject,3038.471905525155,192.2381569878123,0.06326803833145424,False,False,80.34906666666667,98.43829758463905,18.089230917972372,31.143653213169003,38.522164746821666,24.325056001632536,False,False
1226,rackspace.com_false,full xa,0.0061736740300052766,x,3038.471905525155,8.478261517671616,0.002790304396843279,True,False,95.37181663837012,98.43829758463905,3.066480946268925,31.143653213169003,54.7270366621099,46.38811225472909,False,False
1227,rackspace.com_false,full xa,1.0095712497374985,manage,3038.471905525155,180.3557450122877,0.05935738444193905,False,False,107.2340863251311,98.43829758463905,8.795788740492057,31.143653213169003,32.65696151974003,25.906582580323402,False,False
1228,radiofabrik.at_false,choices,1.346906324343423,accept,3250.258127230974,260.3120598088411,0.08008965738072363,False,False,173.34070781560428,218.07991261075372,44.73920479514945,0.8969815900509062,20.67105878029474,19.774160187769905,False,False
1229,radiofabrik.at_false,choices,1.6824867616004875,manage,3250.258127230974,264.9329839474596,0.081511367275056,False,True,64.37828533598146,218.07991261075372,153.70162727477225,0.8969815900509062,35.427845975685784,34.53087436857303,False,False
1230,radiofabrik.at_false,choices,1.148096167063287,reject,3250.258127230974,240.621094785719,0.07403138008325322,False,False,168.4876688197299,218.07991261075372,49.59224379102383,0.8969815900509062,27.954228378469885,27.057262935009344,False,False
1231,radiofrance.fr_false,full,0.8552365583443504,accept,6593.02586631161,177.70093585018859,0.026952864959651865,False,False,75.37657161640233,230.36345696267824,154.98688534627593,0.8975670456777071,48.83546943806038,48.69107981945737,False,False
1232,radiofrance.fr_false,full,0.8582672959488238,reject,6593.02586631161,185.62254383387162,0.028154378216889347,False,False,81.80357072322946,230.36345696267824,148.5598862394488,0.8975670456777071,44.84441415898707,44.36565438135468,False,False
1233,radiofrance.fr_false,full,0.5935839664654063,manage,6593.02586631161,188.83400652995965,0.028641478186039727,False,False,223.1888528138528,230.36345696267824,7.174604148825438,0.8975670456777071,49.39619413345986,48.65022162095523,False,False
1234,rainews.it_false,x,0.9259510454229709,reject,7815.201519686071,245.67689625071273,0.03143577240226831,True,False,239.60017709563164,236.10937897731526,3.490798118316377,7.588131924097258,39.29264603113168,44.43963882308596,False,False
1235,rainews.it_false,x,1.3478477560207456,manage,7815.201519686071,186.1363778652459,0.02381722050242446,False,False,124.82747035573122,236.10937897731526,111.28190862158404,7.588131924097258,42.59711826163679,35.58967593889397,False,False
